absolute_magnitude,estimated_diameter_min,estimated_diameter_max,relative_velocity,miss_distance,average_diameter,scaled_relative_velocity,momentum,velocity_distance_ratio,diameter_magnitude_ratio
19.14,0.3949616937,0.8831611957,71745.4010476829,58143623.31916973,0.6390614447,0.38135294459992475,45849.71964411313,0.0012339341264277336,0.033388790214211074
18.5,0.5303407233,1.1858779086,109949.7571484926,55801047.81819944,0.85810931595,0.5872359891167466,94348.91089556161,0.0019703887551844974,0.04638428734864865
21.45,0.1363185559,0.3048175575,24865.5067981164,67206887.72254463,0.22056805670000001,0.12871747734432465,5484.5365133211735,0.00036998450070728744,0.010282893086247087
20.63,0.1988634532,0.4446721997,78890.0768053243,30396444.12328181,0.32176782645,0.41985555914961914,25384.28854212276,0.002595371895652075,0.015597083201648087
22.7,0.0766575574,0.1714115092,56036.5194835328,63118626.50726542,0.1240345333,0.29669787663209035,6950.463541896348,0.0008877968768392415,0.005464076356828194
25.0,0.02658,0.0594346868,47477.6498319149,42905214.17583934,0.043007343399999995,0.25057417972046053,2041.8875901461163,0.0011065706288596125,0.0017202937359999998
21.5,0.1332155667,0.2978790628,57853.2953456014,27279081.267306097,0.21554731475,0.3064884707910488,12470.122461183055,0.0021207933939820186,0.0100254565
19.75,0.2982325052,0.6668681546,46972.4867936298,69975931.31114951,0.4825503299,0.24785185915510227,22666.588998489457,0.0006712663327732734,0.02443292809620253
21.7,0.1214940408,0.2716689341,37424.5483817653,5657726.906878882,0.19658148744999998,0.1963980766621653,7356.973388031913,0.006614767555546574,0.009059054721198155
23.45,0.0542693946,0.1213500554,38524.8678693203,61661184.56265251,0.087809725,0.20232769174169313,3382.8580532663514,0.0006247831296555139,0.0037445511727078893
26.02,0.0166170902,0.0371569432,45125.6120486885,34223883.067873016,0.026887016700000002,0.2378990622979479,1213.293084750809,0.0013185415564678942,0.0010333211644888549
21.5,0.1332155667,0.2978790628,57853.2957426173,27279080.743713547,0.21554731475,0.3064884729305651,12470.122546758766,0.002120793449242221,0.0100254565
23.76,0.0470494961,0.1052058716,19121.3349135938,12444447.77054916,0.07612768385,0.09776216971676387,1455.662939092036,0.001536535430591469,0.003204027098063973
16.71,1.2093582639,2.7042072872,12703.7885715422,69589432.4383464,1.95678277555,0.06317805120046271,24858.554661022717,0.00018255341545998777,0.11710250003291442
24.3,0.0366906138,0.0820427065,67828.7858823,71307953.84230542,0.05936666015,0.36024632910503107,4026.768479861622,0.000951209258258911,0.0024430724341563785
24.32,0.0363542322,0.0812905344,45162.155756983,40366842.87328309,0.0588223833,0.23809599612145624,2656.5456365915556,0.0011187933596579012,0.0024186835238486845
24.9,0.0278326768,0.0622357573,40238.0190573707,10675158.100397388,0.04503421705,0.2115598531575991,1812.0876838916686,0.003769313641909699,0.0018086030943775101
21.72,0.1203801767,0.2691782583,31504.1009261814,43507908.95824819,0.1947792175,0.1644928210457344,6136.344126442638,0.0007241005527618877,0.008967735612338858
